seg_id,transcription,gender,duration,split
59356_1,لي يخلق اللا الخير لي يخلق الخير إن شاء الله دور تنحل إن شاء الله بإذنه تعالى,Missing,3.963494318,validation
59357_1,مدة دارت افامها كدامها,Missing,1.688616346,validation
59364_1,ذ مالو، ذ ما لاحكتو كاع خرطة,Missing,2.831349089,validation
59364_2,ولا لاحكتو كاع مناسبة,Missing,1.518515986,validation
59368_1,تشتغل ول ما تشتغل,Missing,1.533960901,validation
59369_1,ايو ما هي ملامح التركة الي سرقوا عليكم,Missing,4.137131163,validation
59371_2,الا ليهي نكبظوها ونكيسوابيها صالوه ونحفلوها ونعدلوا لها حالتها ونروحوها,Missing,3.571759224,validation
59373_1,يبرك ذاك كامل، المهم زاد الا العقد,Missing,2.152927581,validation
59376_1,جدولي مشحون بالسيف نطلع مع الصباح والدحميس وساعة بيناتهم ولاني جابر النفس يا صاحبي.,M,5.50416956,validation
59377_1,يا خي عندي باك أفهموا عن عندي باك ما اتليت صايب ما اتليت صايب.,M,3.009772727,validation
59380_1,أيو شوف لين عت واعد الدار طفكلي معاك صك ان عندي ماتش ولابدالي من انكيسو,M,3.847299505,validation
59400_1,"رضيت بالله ربا و بالاسلام دينا و بمحد صلى الله عليه و سلم نبيا و رسولا, لا اله الله و لا نعبد الا اياه له الفضل و له الثناء الحسن لا اله الا الله مخلصين له الدين و لو كره الكافرون.",M,20.57061224,validation
59405_1,السلام عليكم و رحمة الله تعالى و بركاته.,M,3.523086552,validation
59415_1,فقدتني كاع بيه,M,1.265405,validation
59415_3,أنقولهم أنهم أيكيسوه,M,1.48007192,validation
59416_3,اوعاو الفوق احياو شوي نحن الا ذ هوم ليهي نعدلوا الحالة واعدينكم إن شاء الله,M,5.473465909,validation
59422_2,قلت لك اَن سمعت عنك عندك صحاب مانهم محترمين,M,3.663247788,validation
59428_1,اللا يخليكم لنا إن شاء الله,M,1.675227273,validation
59439_1,"اللا لباس الحمد لله, فحوصو فيهم شي ما شاء الله الحمد لله ولخرين ما فات اتيسرت فظتهم وتوف وذا بعد كامل يتعدل إن شاء الله ",M,9.882230114,validation
59455_1,قلت لك أشبهلك تنطلص أعل همك,F,2.917128162,validation
59471_1,هذا ماماه ماتقد تتعشى بيه لين تتعشى بيه دور يكتلها.,M,3.422741477,validation
59487_1,ايو شوف عطيني الف اوقية بغايتي فيها عايد,M,1.661335227,validation
59487_2,شدور بيها ؟,M,1.304943182,validation
59487_3,اللا بغايتي فيها نباسي منها و نعدل بيها شويات,M,3.13625,validation
59516_5,و قراك و لا بقى شي ما عدلو لك,F,2.320625,validation
59541_1,"تبغيلكم الخير تبغيلكم شي متعدل, الوالدين ماينواو, يغير ياللاو اتساعدوها.",M,4.919204545,validation
59542_1,وتحمل المسؤولية شي وارواية وتكتسب قال امنادم عن..المثل ايقول عن من صبر وتأنى نال ما تمنى ولا ايكد حد اينال أي اوراية أسوى هي شنهي ما نالها بالتقى ما نالها بالعفاف.,M,13.83738636,validation
59550_2,"يغير غلبتي يا منيتي و الا بسم الله الرحمن الرحيم, دور الا مولان ان شاء الله قال أنو ميراث والدو ما يقد يكون يحظر فيه و حد ما حظر ما هو ليهي يحظر.",F,9.178764124,validation
59565_1,[singing],M,12.16228693,validation
59569_3,آن كر في و كبر عندي,M,1.836633523,validation
59611_5,و يعود ما يتغير,M,1.592784091,validation
59631_1,غير آن الوتة اهم عندي كاع انت من الوتة و من الدار و من ذا كامل,F,4.454019886,validation
59645_1,أيو اَن مالي واعدك أنت فارظ علي نعدل حالتي فارظ علي نعود ,M,4.137514476,validation
59647_1,فارظ علي نعدل حالتي ان واعدك انتي,M,2.700009708,validation
59659_6,من النهار الي جينا هون و بدأت لي في البرص و بدأت لي في الوتة,F,4.277471591,validation
59670_1,شوفي اص اخبار خون الي دايك مع التركة شور المدرسة ذاك يدور يوف كامل بيهلي تركة المدرسة الا ذ نبتهم,F,10.445625,validation
59673_1,اللا عنكم و توف جيتوا لنواكشوط ما كط جيتوه,F,2.875326705,validation
59674_2,خوي خونا خلي عنك المشاكل الي عدت واحل,F,1.970653409,validation
59690_1,آن فتبارك الله و باسم الله الرحمن الرحيم راجل نقطعها و نرقعها,M,4.506392045,validation
59690_2,و نشتغل فتبارك الله موظف و تبتاب و فظتي ياسرة,M,4.826846591,validation
59746_1,الاخبار شنهي فاش اللا جايينا وتوف جايينا خطار وأركاج حد جايو,F,5.129090909,validation
59756_3,ما شاء الله,M,0.7275568182,validation
59763_1,ايو نحن ملي حد جانا الا يسمع طلباتنا,F,3.183404109,validation
59772_2,ايو اقعد اقعد بعد لين نتكلموا اقعد خليك من ذي,M,1.879332386,validation
59806_3,ان نختيرو أيتم في ذيك المدرسة,F,1.796933228,validation
59837_1,ما شاء الله الحمد لله,M,1.356136364,validation
59837_6,ما بقى حد كل حد طلبيتو وصلت,M,3.091193182,validation
59842_1,محكوم ما رديتها عليك على ملة المخدرات,M,2.040127841,validation
59843_1,حاكمينو على المخدرات,M,1.873160686,validation
59856_1,[singing],M,18.93230114,validation
59862_1,آن شقلت لك ؟ المشي و التسدار و هذا كامل الا لين تفوت توف المناسبة,F,4.426910545,validation
59882_2,ما مالي ش مالي ش,M,1.891363636,validation
59903_8,و شهادات حامل الشهادات,M,2.237286932,validation
59921_1,لا حول و لا قوة الا بالله مده يا اخواني,M,4.003643689,validation
59921_2,ترتفد داره و ذ كامل و هي حاله فمه في المسلسل تخرصو التركه خسرت قرايتهم ,M,7.456786371,validation
59924_2,و الله عالم مولان أل مسلسل كيف دقيق الياقوت,M,3.518596927,validation
59933_1,ان بعد جماعتي حني نشوف كان طالع منه حد كاع,F,3.973948206,validation
59942_1,جبت جولة ما جبرت حد يسولني عن الاخبار,M,1.833096591,validation
59942_5,حاني نكلعو لك,M,1.163068182,validation
59942_6,Quinze بيني و بينك,M,1.314772727,validation
59974_1,الا يكبر مقامنا و مقامك آن نعرف على ان ذي الرواية لين جيتك فيها مانك ليهي ترديني,M,4.549034091,validation
59974_3,هي اللا يجازيك انت بالاحسان إن شاء الله ليهي تكبظيها,M,3.315397727,validation
59996_1,[singing],M,3.858380682,validation
60042_3,يغير بعد لا يلزمك شي,M,1.521136364,validation
60047_1,أيكد ايعود طرالو العنافص ألا حد ايوسط فيه,M,3.12185941,validation
60057_1,افهمتني ؟ انحاني لين نجبرها ومن فم قايلالو كاع عني ماشة مسافرة.,F,4.469204545,validation
60060_1,ما فت عدت راجعة عنها,F,0.9799005682,validation
60060_2,آن اظري فت تراجعت عنها ؟,F,2.107457386,validation
60062_1,يدور الا يعلم بيها,F,1.207940341,validation
60079_1,معناها عني شي قلتو لابدالي منو ماڢيه كاع,F,3.835350724,validation
60103_2,مانللا أيخليك لي اَن ذاك الي قلت لك توف نعرف اَن علني ألا حاسة بشي ليهي يخلك الحمد لله و راهو الحمد لله أخلك,F,6.81752708,validation
60116_1,و هي الطفيلة منى اصحباتها عتنتهم في نواكشوط,M,4.062606946,validation
60125_1,والله تفضل مرحب بيك و السهل,M,2.270514146,validation
60187_2,والي جبت من كرمسين ندورهم كانهم يكحزوا عليه و يكبظوا التراب,M,3.645454545,validation
60187_3,جيت ريت ذ كيف ارم ذات العماد ما بق فيه فم ش ماو بريكنا مدكدك و بلد منين كنت نكاري الوتة مهرشب,M,7.951647727,validation
60188_1,يلي لا شقيتن، ولين سولت عن التركة و عنك انت انقالي عن بابا الي كان يقري اللوح عل انو كحز عليهم و طايرهم عدلهم آلمودة يلي لا يجازي الكاره النبي بالاحسان,M,10.54596591,validation
60192_1,"نشهدلك اللا بالصبر اللي كديتي تقعدي في ذا مقطوعة كلب اللي ما علمني مولانا عن ايكد يوصل لها مو هليكبتير, آن جاي هون انقاجي في ذو القراد وقايلك يا المراة عنك صبارة واعلن قطعا كاردة بلك يغير قوليلي ذو التركة ذا اللي اخلك فيهم هو شنهو",M,16.72142045,validation
60208_2,ما علمك بيها مولان يدني نكيس بيك منظمات المجتمع المدني,M,4.036363636,validation
60208_4,يكحزوا على التركة الاخلايك و يمشوا بيهم يستغلوهم ذا النوع من الاستغلالية ما يخلاو,M,5.264090909,validation
60208_5,قلت لك آن في سلس البول لا نبول لك هون,M,2.926363636,validation
60212_2,ماني قاده نرقد و لاني قاده كاع نحل عيني و لاني ملي قاده نرقد,F,3.615367264,validation
60220_1,[singing],F,4.114034091,validation
60224_1,ادور يعطيها ادور يعطيها مشولنا نحن انتوم الفيديوهات والصور اللي عندكم وتوف.,M,3.349644886,validation
60227_1,انت تعرف عن انتاجك واصحابك,F,1.632869318,validation
60237_1,أصلا كاع كن مشتبهين نحن بيهم و تأكدن و فم ملي وحدين أيبانو جدد ,M,5.872494331,validation
60240_2,الحصول على المعلومات منهم,M,1.691173372,validation
60240_3,يعني علن ماشين في الطريق,M,1.678263652,validation
60240_4,واصلو و ان معاكم,M,2.362478833,validation
60248_2,نتوم بضاعتكم واعرة الناس تبيعو بنفس التسعيرة,M,2.941193182,validation
60253_3,اهيه الا جيت نخرص و توف يكانك تطلع ول ما تطلع,M,2.450497159,validation
60258_1,لين نعطوك تروا جور باكاك ليهي ديرو ف لبنتك و تتخط,M,7.605298295,validation
60260_1,ايه يا صاحبي تكايس هذا بعد ليس,M,1.6171875,validation
60275_1,فتبارك اللّه، ٱن الٱفة اللي عدت جابر اللا عدت إلين انجي لهاذي الطابلة ,M,5.484375,validation
60279_1,مانعرڢ لها شي ماني كايلتها المهم باط شواس سالم ,F,4.113082082,validation
60302_1,و شواس يا خوي ؟,M,1.162954545,validation
60306_10,هو إن شاء الله يجبر الا ش طيب إن شاء الله,M,2.18364982,validation
60306_8,قال انو الا تحسنت الحالة زينة,M,2.988152386,validation
60310_1,آن بعد الي نعرڢ عن مدة مربيها سالم مايالل يطرڢ منها حد,M,6.58125,validation
60323_1,[singing],,17.23758523,validation
60351_4,والله بعد ذاك الي قلت أل حق شوف ان,F,2.395742217,validation
60351_6,جيتهم بشور وقلت لهم الي قايلالهم,F,3.026200695,validation
60351_8,ليهي يجنو ألا عادو لابسين شي من جبات و شي من شراويط هوناتياه,M,3.30990701,validation
60359_2,و الا ش من تقاليد مدة و من ثقافتها,F,3.348153409,validation
60371_2,وفي و توف ذاك للناس,F,1.537817165,validation
60372_3,شعلت رمبايتك عرفي شي لراصك ايه انتي روايتك شنهي ؟,M,3.986122159,validation
60372_5,انت روايتك شنهي عاكب ذاك ذلي تقراي شنهو ؟,M,2.929559659,validation
60385_3,نكبظ لك معاه ميعاد إن شاء الله,F,1.933295455,validation
60387_1,أنتي منين؟ ان راعيني عند المدرسة,M,2.570265515,validation
60408_1,هذي دبوسي ريتيها لي,Missing,1.53125,validation
60418_2,شكيت انك اللا كنت انك اللا عند الخروف تحش لو,F,3.020838068,validation
60422_1,قلت نكيس نواذيبو,M,1.550752841,validation
60424_2,أنراعي فيك ألا تبذري في ذي الفظه,M,2.323350559,validation
60444_2,كنت نختير نربط شي مع ذا الكبش,M,2.074860004,validation
60471_2,و نبيع و نشري اياك اني آن نسد ذوك الفراغات كاملين,F,5.672585227,validation
60493_3,أيو زين ألا الخير أص مع السلامة الطبيب ذاك ألي متعدل الي تعرفو كان متابع مع حالة العاليه ,F,10.33416056,validation
60516_1,ايو شعاقب لك كاع ؟,M,1.230568182,validation
60530_1,اياك لباس عليك ؟,F,1.024431818,validation
60533_2,أصلا نبغي نجي ألا من الأبواب,M,1.78373393,validation
60579_2,تفضلوا اشربوا مرحب,M,1.988934659,validation
60597_1,"ما ليهي يعجل شي عن وقتو, آن عندي برنامج في راسي ولاني امغيرو.",M,3.672556818,validation
60617_1,"مانللا مانللا, شوف اَن عجلان و معاي شي من الرجلي مقيل معاي في الدار. ",M,3.344392621,validation
60659_1,الله يخيتي لا ايردُ ولا ايجازيه بالخير.,M,3.25953125,validation
60688_1,من طين و لحم و دم,F,4.929829545,validation
60688_2,و مع كاع كاع الحيوان,F,4.863210227,validation
60697_1,ايو مريم اشحالها اياك لباس عليها,M,1.500340909,validation
60709_1,آن كل نهار الي حصلت عليه نعطيه منو شي يمشي بيه,M,2.813960569,validation
