english,hassaniya_ar,hassaniya_en,bucket,source,context
Peace be upon you (use at any time of the day),Is-selaamu caleykum,Is-selaamu caleykum,everyday_chat,peace_corps_mauritania,greeting
"And on you, too (reply)",We caleykum is-selaam,We caleykum is-selaam,everyday_chat,peace_corps_mauritania,greeting
Good morning,Ish haal is-sbaah,Ish haal is-sbaah,everyday_chat,peace_corps_mauritania,greeting
Good afternoon,Ish haal li-mgiil,Ish haal li-mgiil,everyday_chat,peace_corps_mauritania,greeting
Good evening,Ish haal li-mbaat,Ish haal li-mbaat,everyday_chat,peace_corps_mauritania,greeting
Are you in peace?,Eyaak il-khayr?,Eyaak il-khayr?,everyday_chat,peace_corps_mauritania,greeting
Peace only,Il-khayr il-hamdulillaah,Il-khayr il-hamdulillaah,everyday_chat,peace_corps_mauritania,greeting
How are you?,Ish haalak?,Ish haalak?,everyday_chat,peace_corps_mauritania,greeting
I am fine,Lebaas meshaallaah,Lebaas meshaallaah,everyday_chat,peace_corps_mauritania,greeting
How is the family?,Ish haal usrtak?,Ish haal usrtak?,everyday_chat,peace_corps_mauritania,greeting
They are fine,Lebaas cliihum,Lebaas cliihum,everyday_chat,peace_corps_mauritania,greeting
How is the work?,Ish haal ish-shaqle?,Ish haal ish-shaqle?,everyday_chat,peace_corps_mauritania,greeting
Welcome!,Merhbe!,Merhbe!,everyday_chat,peace_corps_mauritania,greeting
Thank you!,Shukran!,Shukran!,everyday_chat,peace_corps_mauritania,greeting
My name is Sidi,Aane esmi Sidi,Aane esmi Sidi,everyday_chat,peace_corps_mauritania,self_introduction
My last name is Brahim,Aane wul Brahim,Aane wul Brahim,everyday_chat,peace_corps_mauritania,self_introduction
What's your name?,Nte esmak?,Nte esmak?,everyday_chat,peace_corps_mauritania,self_introduction
What's your last name?,Nte wul aash?,Nte wul aash?,everyday_chat,peace_corps_mauritania,self_introduction
I am from Mauritania,Aane min Muuritaan,Aane min Muuritaan,everyday_chat,peace_corps_mauritania,self_introduction
Where are you from?,Nte min mneyn?,Nte min mneyn?,everyday_chat,peace_corps_mauritania,self_introduction
I am a teacher,Aane garraay,Aane garraay,everyday_chat,peace_corps_mauritania,self_introduction
John is a volunteer,John mutetawic,John mutetawic,everyday_chat,peace_corps_mauritania,self_introduction
Good-bye! / Stay in peace,Maca is-selaam,Maca is-selaam,everyday_chat,peace_corps_mauritania,leave_taking
See you!,Ile il-liqaa,Ile il-liqaa,everyday_chat,peace_corps_mauritania,leave_taking
Have a good day,yuum saciid,yuum saciid,everyday_chat,peace_corps_mauritania,leave_taking
Have a good night,Leyle saciide,Leyle saciide,everyday_chat,peace_corps_mauritania,leave_taking
May we have a good night,Mbaatu bikhayr,Mbaatu bikhayr,everyday_chat,peace_corps_mauritania,leave_taking
Amen!,Emiin!,Emiin!,everyday_chat,peace_corps_mauritania,leave_taking
See you in the morning,Ile mca is-sbaah,Ile mca is-sbaah,everyday_chat,peace_corps_mauritania,leave_taking
See you tomorrow,Ile is-subh,Ile is-subh,everyday_chat,peace_corps_mauritania,leave_taking
I am tired,Aane vetraan,Aane vetraan,everyday_chat,peace_corps_mauritania,useful_expression
I am sleepy,Aane nacsaan,Aane nacsaan,everyday_chat,peace_corps_mauritania,useful_expression
I am hungry,Aane jicaan,Aane jicaan,everyday_chat,peace_corps_mauritania,useful_expression
I am not hungry,Aane maani jicaan,Aane maani jicaan,everyday_chat,peace_corps_mauritania,useful_expression
I am thirsty,Aane catshaan,Aane catshaan,everyday_chat,peace_corps_mauritania,useful_expression
It's hot,Haadhe haami,Haadhe haami,everyday_chat,peace_corps_mauritania,useful_expression
It's cold,Haadhe baarid,Haadhe baarid,everyday_chat,peace_corps_mauritania,useful_expression
Excuse me,Esmah li,Esmah li,everyday_chat,peace_corps_mauritania,useful_expression
You are excused,Musaameh,Musaameh,everyday_chat,peace_corps_mauritania,useful_expression
Where are you going?,Nte ish gaayes?,Nte ish gaayes?,everyday_chat,peace_corps_mauritania,useful_expression
I am going home,Aane gaayes id-daar,Aane gaayes id-daar,everyday_chat,peace_corps_mauritania,useful_expression
I am going to school,Aane gaayes il-medrase,Aane gaayes il-medrase,everyday_chat,peace_corps_mauritania,useful_expression
Do you speak Hassaniya?,Nte titkellem il-hassaaniye?,Nte titkellem il-hassaaniye?,everyday_chat,peace_corps_mauritania,useful_expression
"Yes, I speak Hassaniya a little bit","Eheyh, aane nitkellem il-hassaaniye shwey","Eheyh, aane nitkellem il-hassaaniye shwey",everyday_chat,peace_corps_mauritania,useful_expression
I don't like French,Aane maa nibqi il-varensiye,Aane maa nibqi il-varensiye,everyday_chat,peace_corps_mauritania,useful_expression
I don't like coffee,Aane maa nibqi kaave,Aane maa nibqi kaave,everyday_chat,peace_corps_mauritania,useful_expression
I study,Aane negra,Aane negra,everyday_chat,peace_corps_mauritania,useful_expression
I eat,Aane newkel,Aane newkel,everyday_chat,peace_corps_mauritania,useful_expression
I work,Aane nishtqal,Aane nishtqal,everyday_chat,peace_corps_mauritania,useful_expression
I am having some sleep,Aane laahi nirgid shwey,Aane laahi nirgid shwey,everyday_chat,peace_corps_mauritania,useful_expression
I want to rest,Aane ndewr nistrah,Aane ndewr nistrah,everyday_chat,peace_corps_mauritania,useful_expression
A woman,mra,mra,everyday_chat,peace_corps_mauritania,vocabulary_family
Women,cleyaat,cleyaat,everyday_chat,peace_corps_mauritania,vocabulary_family
A man,raajil,raajil,everyday_chat,peace_corps_mauritania,vocabulary_family
Men,rajjaale,rajjaale,everyday_chat,peace_corps_mauritania,vocabulary_family
A girl,tivle,tivle,everyday_chat,peace_corps_mauritania,vocabulary_family
Girls,taavilaat,taavilaat,everyday_chat,peace_corps_mauritania,vocabulary_family
A boy,tvel,tvel,everyday_chat,peace_corps_mauritania,vocabulary_family
Boys,ciyyel,ciyyel,everyday_chat,peace_corps_mauritania,vocabulary_family
A child,ishiir,ishiir,everyday_chat,peace_corps_mauritania,vocabulary_family
Children,ishaashre,ishaashre,everyday_chat,peace_corps_mauritania,vocabulary_family
A family,usra,usra,everyday_chat,peace_corps_mauritania,vocabulary_family
Mother,um,um,everyday_chat,peace_corps_mauritania,vocabulary_family
Father,bu,bu,everyday_chat,peace_corps_mauritania,vocabulary_family
Wife,zewje,zewje,everyday_chat,peace_corps_mauritania,vocabulary_family
Husband,zewj,zewj,everyday_chat,peace_corps_mauritania,vocabulary_family
Sister,khit,khit,everyday_chat,peace_corps_mauritania,vocabulary_family
Brother,khu,khu,everyday_chat,peace_corps_mauritania,vocabulary_family
Morning,is-sbaah,is-sbaah,everyday_chat,peace_corps_mauritania,vocabulary_time
Noon,il-gaayle,il-gaayle,everyday_chat,peace_corps_mauritania,vocabulary_time
Afternoon,id-dahmiis,id-dahmiis,everyday_chat,peace_corps_mauritania,vocabulary_time
Night,leyle,leyle,everyday_chat,peace_corps_mauritania,vocabulary_time
Breakfast,is-sbuuh,is-sbuuh,everyday_chat,peace_corps_mauritania,vocabulary_time
Lunch,li-qde,li-qde,everyday_chat,peace_corps_mauritania,vocabulary_time
Dinner,li-cshe,li-cshe,everyday_chat,peace_corps_mauritania,vocabulary_time
Water,il-me,il-me,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
Tea,etaay,etaay,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
Coffee,kaave,kaave,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
Milk,il-lben,il-lben,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
Sugar,is-sekker,is-sekker,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
Salt,il-milh,il-milh,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
Rice,maaru,maaru,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
Fish,il-huut,il-huut,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
Meat,il-lham,il-lham,everyday_chat,peace_corps_mauritania,vocabulary_food_drink
School,il-medrase,il-medrase,everyday_chat,peace_corps_mauritania,vocabulary_places
Classroom,il-vasl,il-vasl,everyday_chat,peace_corps_mauritania,vocabulary_places
Toilet,id-duush,id-duush,everyday_chat,peace_corps_mauritania,vocabulary_places
Kitchen,il-kuziin,il-kuziin,everyday_chat,peace_corps_mauritania,vocabulary_places
Hangar (Straw roof that you sit under),li-mbaar,li-mbaar,everyday_chat,peace_corps_mauritania,vocabulary_places
House,id-daar,id-daar,everyday_chat,peace_corps_mauritania,vocabulary_places
Room,il-beyt,il-beyt,everyday_chat,peace_corps_mauritania,vocabulary_places
Tent,il-khayme,il-khayme,everyday_chat,peace_corps_mauritania,vocabulary_places
Dispensary,it-tabb,it-tabb,everyday_chat,peace_corps_mauritania,vocabulary_places
Market,il-marsa,il-marsa,everyday_chat,peace_corps_mauritania,vocabulary_places
Shop,il-butiig,il-butiig,everyday_chat,peace_corps_mauritania,vocabulary_places
Office,il-mekteb,il-mekteb,everyday_chat,peace_corps_mauritania,vocabulary_places
River,li-bhar,li-bhar,everyday_chat,peace_corps_mauritania,vocabulary_places
A well,il-haasi,il-haasi,everyday_chat,peace_corps_mauritania,vocabulary_places
Pump,il-mekiine,il-mekiine,everyday_chat,peace_corps_mauritania,vocabulary_places
Garden,il-hadiiqa,il-hadiiqa,everyday_chat,peace_corps_mauritania,vocabulary_places
Field,li-hriithe,li-hriithe,everyday_chat,peace_corps_mauritania,vocabulary_places
Working place,bell ish-shaqle,bell ish-shaqle,everyday_chat,peace_corps_mauritania,vocabulary_places
Mosque,li-msiid,li-msiid,everyday_chat,peace_corps_mauritania,vocabulary_places
Bank,il-benk,il-benk,everyday_chat,peace_corps_mauritania,vocabulary_places
Bus station,waqvet il-biis,waqvet il-biis,everyday_chat,peace_corps_mauritania,vocabulary_places
Airport,il-mataar,il-mataar,everyday_chat,peace_corps_mauritania,vocabulary_places
A table,taable,taable,everyday_chat,peace_corps_mauritania,vocabulary_objects
A chair,migcayde,migcayde,everyday_chat,peace_corps_mauritania,vocabulary_objects
A door,baab,baab,everyday_chat,peace_corps_mauritania,vocabulary_objects
A window,kuwe,kuwe,everyday_chat,peace_corps_mauritania,vocabulary_objects
A pen,qlem,qlem,everyday_chat,peace_corps_mauritania,vocabulary_objects
A pencil,qlem rasaas,qlem rasaas,everyday_chat,peace_corps_mauritania,vocabulary_objects
A notebook,karne,karne,everyday_chat,peace_corps_mauritania,vocabulary_objects
A book,ktaab,ktaab,everyday_chat,peace_corps_mauritania,vocabulary_objects
A bag,sak,sak,everyday_chat,peace_corps_mauritania,vocabulary_objects
Chalk,tabshuur,tabshuur,everyday_chat,peace_corps_mauritania,vocabulary_objects
Chalk board,sebbuura,sebbuura,everyday_chat,peace_corps_mauritania,vocabulary_objects
A plate,plaat,plaat,everyday_chat,peace_corps_mauritania,vocabulary_objects
A spoon,kiddu,kiddu,everyday_chat,peace_corps_mauritania,vocabulary_objects
A knife,muus,muus,everyday_chat,peace_corps_mauritania,vocabulary_objects
A broom,balaaye,balaaye,everyday_chat,peace_corps_mauritania,vocabulary_objects
A bed,metke,metke,everyday_chat,peace_corps_mauritania,vocabulary_objects
A blanket,mbedju,mbedju,everyday_chat,peace_corps_mauritania,vocabulary_objects
A bed sheet,dra,dra,everyday_chat,peace_corps_mauritania,vocabulary_objects
A mat,hsayra,hsayra,everyday_chat,peace_corps_mauritania,vocabulary_objects
Clothes,lbaas,lbaas,everyday_chat,peace_corps_mauritania,vocabulary_objects
A shirt,tirki,tirki,everyday_chat,peace_corps_mauritania,vocabulary_objects
Pants,sirwaal,sirwaal,everyday_chat,peace_corps_mauritania,vocabulary_objects
Shoes,ncaayil,ncaayil,everyday_chat,peace_corps_mauritania,vocabulary_objects
Bike,raale,raale,everyday_chat,peace_corps_mauritania,vocabulary_objects
Eye glasses,bassaraat,bassaraat,everyday_chat,peace_corps_mauritania,vocabulary_objects
Monday,lethneyn,lethneyn,everyday_chat,peace_corps_mauritania,vocabulary_days
Tuesday,ith-thlaathe,ith-thlaathe,everyday_chat,peace_corps_mauritania,vocabulary_days
Wednesday,lerbca,lerbca,everyday_chat,peace_corps_mauritania,vocabulary_days
Thursday,likhmiis,likhmiis,everyday_chat,peace_corps_mauritania,vocabulary_days
Friday,il-jumuca,il-jumuca,everyday_chat,peace_corps_mauritania,vocabulary_days
Saturday,is-sibt,is-sibt,everyday_chat,peace_corps_mauritania,vocabulary_days
Sunday,il-had,il-had,everyday_chat,peace_corps_mauritania,vocabulary_days
How are you?,Esh hal-ak?,Esh hal-ak?,everyday_chat,youtube_language_beat,greeting_question
"Fine, thanks to God","Labas, mashalah","Labas, mashalah",everyday_chat,youtube_language_beat,greeting_response
How are you? Are you doing fine?,Esh hal-ak? Yak labas?,Esh hal-ak? Yak labas?,everyday_chat,youtube_language_beat,greeting_question
"Fine, thanks to God","Labas, mashalah","Labas, mashalah",everyday_chat,youtube_language_beat,greeting_response
How are you? Is everything good?,Esh hal-ak? Yak elkher?,Esh hal-ak? Yak elkher?,everyday_chat,youtube_language_beat,greeting_question
"Fine, thanks to God","Labas, mashalah","Labas, mashalah",everyday_chat,youtube_language_beat,greeting_response
Are you doing fine? / Hope everything is good,Yak labas?,Yak labas?,everyday_chat,youtube_language_beat,conversational_phrase
Is everything good?,Yak elkher?,Yak elkher?,everyday_chat,youtube_language_beat,conversational_phrase
"Fine, praise be to God","Labas, alhamdulilah","Labas, alhamdulilah",everyday_chat,youtube_language_beat,conversational_phrase
I,ana,ana,everyday_chat,youtube_language_beat,vocabulary_pronoun
you (male),nte,nte,everyday_chat,youtube_language_beat,vocabulary_pronoun
you (female),nti,nti,everyday_chat,youtube_language_beat,vocabulary_pronoun
he,huwe,huwe,everyday_chat,youtube_language_beat,vocabulary_pronoun
she,hiye,hiye,everyday_chat,youtube_language_beat,vocabulary_pronoun
we,nahne,nahne,everyday_chat,youtube_language_beat,vocabulary_pronoun
you (plural),ntuume,ntuume,everyday_chat,youtube_language_beat,vocabulary_pronoun
they,huume,huume,everyday_chat,youtube_language_beat,vocabulary_pronoun
a woman,mra,mra,everyday_chat,youtube_language_beat,vocabulary_family
a man,rajel,rajel,everyday_chat,youtube_language_beat,vocabulary_family
mother,um,um,everyday_chat,youtube_language_beat,vocabulary_family
father,bu,bu,everyday_chat,youtube_language_beat,vocabulary_family
sister,khit,khit,everyday_chat,youtube_language_beat,vocabulary_family
brother,khu,khu,everyday_chat,youtube_language_beat,vocabulary_family
wife,zewje,zewje,everyday_chat,youtube_language_beat,vocabulary_family
husband,zewj,zewj,everyday_chat,youtube_language_beat,vocabulary_family
a child,ishiir,ishiir,everyday_chat,youtube_language_beat,vocabulary_family
a family,usra,usra,everyday_chat,youtube_language_beat,vocabulary_family
morning,es-sbah,es-sbah,everyday_chat,youtube_language_beat,vocabulary_time
noon,il-gaayle,il-gaayle,everyday_chat,youtube_language_beat,vocabulary_time
afternoon,id-dahmiis,id-dahmiis,everyday_chat,youtube_language_beat,vocabulary_time
night,leila,leila,everyday_chat,youtube_language_beat,vocabulary_time
a table,tabla,tabla,everyday_chat,youtube_language_beat,vocabulary_object
a door,bab,bab,everyday_chat,youtube_language_beat,vocabulary_object
a book,kitab,kitab,everyday_chat,youtube_language_beat,vocabulary_object
a pen,qlem,qlem,everyday_chat,youtube_language_beat,vocabulary_object
a notebook,karne,karne,everyday_chat,youtube_language_beat,vocabulary_object
a chair,migcayde,migcayde,everyday_chat,youtube_language_beat,vocabulary_object
I am tired,Ana fetran,Ana fetran,everyday_chat,youtube_language_beat,feeling
I am hungry,Ana jiaan,Ana jiaan,everyday_chat,youtube_language_beat,feeling
I am thirsty,Ana atchan,Ana atchan,everyday_chat,youtube_language_beat,feeling
