english,hassaniya-ar,hassaniya-en
Do you have a son named Mohamed?,عندك اولد اسمه محمد؟,3endek wled 2esmu Mohamed?
I'll take him.,لاه نمشي بيه امعاي,lahi nemchi bih m3aye
Anything new?,شطرى؟,chi6ra?
Aziz hid under the table.,عزيز تروغ تحت الطابلة,3aziz trewagh ta7t 6abla
You should try to form the habit of using your dictionaries.,يالتك اطب اعل تشقال المُعجَمات,yaltek 6eb 3le tech9al lmou3jemat
I hate chemistry.,مانگد اعل الكيمياء,manged 3le lkimya2
"If I were to tell you the truth, you would be surprised.",لكنت قلت لك الحگ كنت لهي تتفاجأ,lknt giltlk l7ag knt lehi titvaj2
I am eating an apple.,نوكل ابمايه,newkel pemmaye
Everybody loves music.,كل حد يبغي الهول,kel 7ad yebghi elhewl
Go and speak to my colleague.,امشي و اتكلم امع زميلي,mchi w tkelem m3e zemili
It's not the time but the will that you lack.,علتك ماه الوقت علتك الرزاح ,3eltek mahi lwe9et 3eltek rza7
Kemal went to school with Bilal.,كمال اتافگ مع بلال شور المدرسة,Kemal etaveg m3a Bilal chor lmedrasa
How long is the bridge?,الجسر كم طولو؟,ljesser kem 6oulou?
At least let me help set the table.,على الاقل خليني انعاونك اف ترتيب الطابلة,3ala 2l29l 5alini 2n3awnk v tartib 26able 
I'm a little tired.,أنا تعبان شوي,2ane te3ban chwey
Is this book yours?,ذا الكتاب لك؟,4a lektab lak?
Fadil headed into the house.,فاضل ادخل في الدار,fadil 2d5al vi 2dar
That is a new story to me.,هاذي مردة جديدة علي,ha4i mreda jdida 3liya
Do you think fish can hear?,انت شاك ان الحوت يسمع؟,nte chak in l7out yesma3
What do you intend to do?,اش هامك اتعدل؟,chhamek t3edel?
French is spoken in France.,الفرنسية يكلم بيها شور فرنسا,elvaransiye youkelem bihe chor varansa
You can take whichever way you like.,تگد تختر الطريگ اللي باغي,tgued te5ter 6ruig eli baghi
How will we pay our debts now?,بسمحالة لاهي نخلصو دينا ظرك,besm7ala lehi n5also deyna 8ark
That is intriguing.,هذا رافد اينيمش,ha4e raved yniymech
What are you thinking about?,شتفكر فيه,chtvekr vih?
I know your name.,نعرف اسمك,ne3rev 2esmek
Is everything all right?,اياك كل شيء زين ,iyak KL chi zeyn
Do you love music?,تبق لغن؟,teb9i le9ne?
Where do you work?,تشتغل منين؟,techtghal mneyn?
Where will we meet?,امنين لهي نجابرو؟,mneyn lehi nijabrou
Who is your teacher?,گرايك منه؟,Gerayk menhu?
I didn't like it.,ذاك ماه عاجبني,4ak mahou 3ajebni
"Mustafa is not my brother, but my cousin.",مصطفى ماه خويا هو ول عمي,Mes6ave maho 5ouya howe wel 3ami
The car crashed into the wall.,الوت كرت الحيط,lwete keret l7ey6
I would rather not go.,أغلى علي ما نمشي,aghla 3liye ma nemchi
She asked me where I was going.,سولتني عني منين واعد,sewletni 3ani mneyn wa3ed
Why do you want to leave today?,اعلاش تبقي تمشي اليوم؟,3lach teb9i temchi lyoum?
Why is it so hot?,هون حامي لاش,hown 7ami lach
Are you going anywhere?,أنت واعد ابلد؟,enta wa3ed ebled?
My uncle's brother's son got involved in a shady business and disgraced the family.,ول عمي تورط ف فلاعمال المهي كارده الطريق و افظح لاسره,wel 3ami twara6 vle3mal lmehi karde 6rig w v8e7 l2ousra 
Why didn't you believe me?,لاش ما جاد عليك كلامي؟,lach ma jad 3lik klami
Omar was in Japan.,عمر كان شور اليابان,3omar kan chor lyaban
Let me see it.,خليني نشوفو,5alini nchovo
I am terribly hungry.,أنا ظمران,ena 8amran
Is that all?,الا ذا گدو,2la 4e gidou
You should give up drinking tea.,يالتك توف من شراب اتاي,yaltek tewve mn chrab 2etay
Just a minute.,دقيقة حگل,de9iy9e 7egele
Henry was dismissed by reason of his old age.,هنري انصاع بيه اتشيبين,Henry nsa3 bih tcheybin
That is the fastest train in the world.,ذ هو اسبگ قطار ف العالم,4e houwe 2esbeg 9i6ar v l3alem 
What time will the game start?,اينت يبدأ ماتش,inte yebde match?
Do you need an ambulance?,ابغايتك افامبيلانص,2bghaytk 2v ambulance
People should understand that the world is changing.,يالت الناس يفهم ان العالم تتبدل,yalet nas yevehmou 2en l3alem yetbedel
Any student can answer that question.,ما خالگ تلميدي ما يعرف جواب ذ السؤال,ma 5alg telmidi ma ya3rav jwab 4e sou2al
Are you going to attend the meeting?,لهي تحظر لاجتماع? ,lehi te78er lejtima3?
What made him change his mind?,شتمى ايلين بدل ارايو؟,chtemma eyleyn bedel arayou?
My grandfather comes from Aleg.,جدي من ألاگ,jedi mn 2lag
Come on!,حگلل,7gll!
Salem can speak French.,سالم يگد يتكلم بالفرنسية,Salem ygued yetkelem bl varansiye
Make your choice.,اختر التبقي,5ter lteb9i
She's a girl.,هي طفلة,hiye 6evla
Mouna is liked by all students.,منى غالية على التلاميد كاملين,Mouna ghaliya 3le tlamid kamelin
The boy remained silent.,تم اطفل ساكت,tem 6fel saket
Don't play dumb!,لا تجنن راصك ,la tjenen rassak
Where does it hurt?,منين يوجعك؟,mneyn yowj3ak?
Kemal took some roses.,كمال طفگ معاه شي من فلير,Kemal 6feg m3ah chimen fleyr
The students learned many poems by heart.,التلاميذ حفظو ياسر من القصايد,tlami4 7av8ou yassr mn l9assayd
We all had such a good time.,مضينا وقت معيدل ,madeyne wa9t 2m3aydel 
What other options do I have?,شنگد انعدل گاع اوخر؟,chenged n3edel ga3 2w5er?
"Since cheikh lied to me, I don't speak to him anymore.","من ساعة لي اكذب علي الشيخ, ماتليت انخاطب","mn sa3e li k4eb 3liye cheikh, matleyt n5a6bou"
Don't cut down those trees.,لا تگطع ذو اصدر,la tag6a3 4ou sdar
Why not see the doctor?,انت ما فت شفت طبيب,nte mavt chivt 6abib
I received your letter yesterday.,وصلتني رسالتك يامس,wesletni risaltek yames
Your dress is very nice.,رمبايتك زوينة ,rembaytek zweyne
The phone rang when I was having lunch.,صونات تلفون وان نوكل لغد,Sewnat televoun wane newkel le9de
"Quick, run after him.",اعجل تلبو,e3jal etlbou
Who is standing there?,من واگف الهيه؟,mn waguev lheh
This is the boy I think about.,ذ هو الطفل اللي نتخمم فيه,4e houwe 6vel li net5emem vih
Life lies in front of you.,مزال فيدك أتعدل ياسر من شي,mezal veydek t3edel yaser mn chi
How long does it take to get to the station?,المحطة كم من هون,lme7e6e kem mn houn
You're going too far.,رانك اتعديت حدودك,ranek t3edeyt 7oudoudak
Amadu and Tom are brothers.,آمادو و صمب خوت,Amadou w sambe 5oute
You have a bright future.,عندك مستقبل مشرق,3endek mouste9bel mouchri9
He had a blue jacket on.,كان لابس جاكيت خظرة خظار السما,kan labs jacket 5a8ra 58ar sme
The admission is ten dollars a person.,البيه باعشر دولارات لرگاج الواحد,lbiye b3char dolarat lregaj lwa7d
How far is it to the airport?,شگد بعد المطار عن هون؟,chgd b3d lme6ar 3n hun
Cats usually hate dogs.,الأنواص عادة ما يبغو الأكلاب,lenwass 3adatan ma yebghou leklab
This is my father's.,هاذ البويه,ha4e 2l bouye
I go shopping every morning.,نمشي نشري شيات كل صبحاي,nemchi nechri cheyat kel seb7aye
Do you wash your hands before meals?,تقسل ايديك سابگ لوكيل؟,te9sel 2eydek sabeg lewkil?
"You're a philosopher, aren't you?","انت فيلسوف, حگ؟","nte veylesouv, 7eg?"
What did you come here for?,ذلي رافد بيك شنه؟,4eli raved bik chenhou?
Where would you like to go first?,امنين تبغي تمشي اولا؟,2mneyn tibghi timshi 2wln?
She is mad at me.,هي منفگع اعلي,hiye menveg3e 3liye
We are facing a violent crisis.,انواجهو كارثه كبيره,nwajhou karthe kbire
My father is in good health.,والدي صحة زين,Waldi se7tou zeyne 
Maybe he will be a good teacher.,يكد مزال يعود گراي خباري,ygued mezal y3od garay 5bary
Have you ever been to America?,گط گست امريك؟,ge6 geset 2amriyk?
"You should only count on yourself--but even then, not too much.","يالتك تعتمد الا اعل راصك, يكون ملي ماه ال بعيد","yaltek te3temed 2ela 3le rasek, yekoun meli mahou 2ile b3id"
Why did you turn down his offer?,لاش أبيت عن ذ ال عرض عليك؟,lach abeyt 3n 4eli 3radh 3lik?
I left my card at home.,خليت كرتي في الدار,5aleyt kerti vi dar
I've always wanted to meet you.,كنت دايما اندور نجابر معاك,knt daym ndor nijabr m3ak
The French word 'chat' means 'cat'.,بالفرنسية شا معناه مش,blvaransiye chat ma3naha mech
Tell me about it.,عطيني ذيك الأخبار,36ini 4ik la5bar
Just follow your heart.,عدل ذلي تمونكتلو أخلاگك,3edel 4eli tmewnketlou 5lagek
Everyone attacked my opinion.,هجمو كاملين على بوي,hijmou kamlin 23la bouye
Sami is on a bus.,سامي فالبيس,sami vl bus
What's in the file?,ذ شنهو الي ف الملف؟,4e chinhou 2li v lmelef?
Please step back.,حوز حگل,7ouz 7agalla
Let's play volleyball.,وهاي نلعبو فولي,wahay nel3b volley
Let's sing and dance.,خلينا نغنو و نرگصو,5aline nghanou w nerigssou
Your book is on the desk.,اكتابك اعل بيرو,ktabek 3le bureau
The old man fell down on the ground.,طاح الشيباني على الدص,6a7 cheybani 3le dass
I've got a pacemaker.,انعمل منظم ضربات الگلب,n3emel muna8im li derebat lgelb
None of my friends drink coffee.,أصحابي فر ما يشرب كافة,2es7abi ver ma yecherbou kave
I remember hearing a very similar story to that.,حاجلي اني سمعت شي ذ كيفو,7ajeli eni sma3t chi 4e kivou
Layla ate here regularly on weekends.,ليلى كانت توكل هون فدماس دائما,Layla kanet tewkel houn v dimas da2imen
I don't like coffee.,ما نبغي كافة,ma nebghi kave
"Close the door, please.",اگفل الباب حگل,egval lbab 7agalla
We should face up to this issue.,يالل نواجهو ذي المشكله,yall nwajhou 4ilmouchkile
That was the best day of my life.,كان ازين انهار افحياتي,kan 2ezyen nhar v7eyati
My doctor told me to lay off the tea so I have this uneasy impatient feeling.,الطبيب انصحني نوف من اتاي، جبرت شي من ادواخ مو عادي ,"6abib nsa7ni newve mn etay, jbart chi mn adwa5 mo 6abi3i"
What made you come here?,اشجابك,chjabk?
Mustafa answered for his sister.,مصطفى جاوب ختو,Mes6ave jawb 5tou
You certainly have a lot of questions.,عندك ياسر من لسئلة حگ,3endek yaser mn les2ile 7eg 
I don't know whether med is hungry or not.,مانعرف كان محمد جيعان ولل,mana3rev kan mou7amed ji3an wll 
You really are hopeless.,مايرتجالك شي,mayeretjalek chi
I'm in love with you.,انا ميت بي عزتك,2na meyet biye 3eztek 
This is your victory.,هذا النصر نصركم,ha4a nassr nassrkom
Then what?,وايلا ذيك؟,weyla 4ik?
I bought some fresh eggs which had just come from the farm.,اشريت شي من البيظ الجديد اللي كيفنو جاي من المزرعة,chreyt chi mn lbey8 ejdid eli kivnou jay mn lmezra3a
I don't know if I'll have time to do it.,ما نعرف يكان لاهي انر الوقت ياك ان عدلها,ma ne3rev yekani lahi nre lwe9et yak n3edelhe
I have no words to express my gratitude.,مانعرف كوما لهي نخلصلك,man3rv comma Lehi 2n5allss lk
What do you mean?,اشقصدك,ch9dk?
Does everybody love music?,اكاملين تبغو لغن؟,kamlin tebghou lighne
Can I give him the check?,تكد تعطيني الشيك؟,tgued ta36ini echeck?
Don't talk like that.,لا تتكلم بذي الصيفة,la tetkelm b4i siva
Why were you late this morning?,لاش ترديت ذي الصبحاية؟,lach tardeyt 4i seb7aya
Maryem made a cake without her mother's knowledge.,مريم عدلت گاتو من دون ما اتعلم امها,maryem 3adlet gatou men doun ma t3alem 2mha
I have to go to bed.,يالت نگيس بل منين لاهي نرگد,yalti ngis bel mneyn lahi nerged
The one who uses this toothbrush isn't my mother.,الي يشقل ذ مسواك سنين ماه والدتي,Li yche9el 4e meswak seneyn mahou waledti
I did see him.,گطيت شفتو,ga6eyt chivtou
We danced to the music.,ارگصنا اعلى بنچه,rgasne 3le bendje
Sweet dreams!,باتي اعلى خير,bati 23le 5eyr
You can add a literal translation,تگد أتزيد الترجمة الحرفية,Tged tziyd terjeme l7erviye
How many hours of sleep do you need?,كم من الوقت كافيك لركاد؟,kem mn lwe9et kavik lergad?
"Give it to me, please.",اعطيهلي حگل,a36ihli 7aglla
It's well done.,اعدل ابشكل زين,2ou3edel bchekel zeyn
At ease.,لا اتكدر ,la 2tkeder
Money is not everything.,الفظة ماهي كل شي,lva8a mehi Kl chi
How did you come here?,بسمحالة جيت هون؟,besm7ala jeyt hown?
"Amadu came here, didn't he?",آمادو ما جا هون؟,Amadou ma ja hon?
I don't like Fatimetou .,ما عاجبتني فاطمة,Ma3ejbetni Fatimetou 
I agree with his opinion.,أنا معاه فذ الگال,ena m3ah v4e lgal
Mauritania is a very beautiful country.,موريتاني دولة زينة,Mauritani dawla zeyna
The door opened auAzizatically.,الباب فتح وحدو,lbab fta7 wa7dou
Layla was overjoyed.,ليلى كانت فرحانه حت,leyla kant var7ane 7att
Why?,لاش؟,lach?
Silence gives consent.,اسكات مارت لعقل,skat maret le39el
The radio will not work.,الراديو ماه لهي يشتغل,radio mahu lehi yicht9al
We're not getting anywhere.,مان لهي نوصلو لاي بلاصه,mane lehi nouslou l2y blasa
I cannot give you a definite answer today.,مانگد نعطيك اجواب محدد ليوم,Manged ne36ik jwab mu7eded lyoum
Sometimes he can be a strange guy.,مرات يعود اطفل غريب,merat y3oud 6fel gharib
How fast Aziz speaks!,عزيز كلامو شطران,3aziz klamou cha6ran
The man slumped to the floor.,الراجل طاح على التراب,rajel 6a7 3le trab
The real problem is not whether machines think but whether men do.,"المشكيل الحقيقية ماه معرفت يكان لَجْهِزَ يتخمو, يكون يكان البشر يتخمو","lmechkile l7e9iy9iye mahi me3rivet yekan lejhize yet5emou, yekoun yekan lbecher yet5emou"
You work too hard.,رانك اتعب راصك ب اشقل,ranek te3eb rasek b che9le
Omar often goes to the park.,عمر گياس للحديقة,3omar gueyass lel 7adi9a
Not only you but also I was involved.,"ماه انت وحدك, كان عينو عليان امعاك","mahu nte we7dek, kan 3eynu 3liyane m3ak"
Look carefully. I'm going to show you how it's done.,"خرص حت, لاه انعتلك بسمنحال تعدل","5eres 7ete, lahi ne3etlek besmen7al tu3edel"
I can't get at the exact meaning of the sentence.,ما كديت نفهم معنى ذي الجملة گبال,maguedeyt nevhem ma3na 4i ljoumla gbal
Ahmed drinks coffee every day.,أحمد يشرب كافة كل انهار,Ahmed yechreb kave kel nhar
He is not Japanese.,هو ماه ياباني,Houwe mahou yabani
It's a rainy day.,السحاب اليوم امرودنا,s7ab lyoum mrodne
Cheikh is quite talkative.,الشيخ كلام,Chei5 kelam
Are you busy tomorrow morning?,انت واحل صبح امعصباح؟,2ente wa7el sebe7 m3esba7?
You should study harder.,يالتك تگر ابجهد اكثر من ذ,yaltek tegre bjehed 2ekther mn 4e
You will benefit from a trip abroad.,ادور تنفعك مشيتك شور الخارح,dor tenv3ak mechitk chor l5arj
You talk as if you were the boss.,تتكلم كانك رئيسنا,titkalem kank ra2isne
The plane took off at exactly ten o'clock.,الطيارة طارت العاشرة تامة,6yar 6aret el3achra tamma
You can go home now.,اتگد ظرك ترجع للدار,2tged 4rk terje3 l-dar
Those are my trousers.,ذاك سروالي,4ak serwali
Do as you like.,عدل التبقي,3edel lteb9i
When did you begin learning German?,اينت ابدات تتعلم الالمانية؟,2eynte bde2et tet3elem l2almaniye?
Stop teasing your sister!,وگف عن تجلاج أختك ,Wegev 3en tejlaj 5tek
I'll bring one more towel.,لاهي نجيب زيف اوخر,lehi njib ziv o5ar
Why do you think I told her about it?,من گالك عني علمتها؟,mn galak 3ani 3alemteha?
Why do you study?,لاش تگر؟,lach tegra?
