id,annotations,created_at, Annotation results,text,updated_at
1,1,2024-06-09T22:17:12.606256Z,Neutral,اهيه,2024-06-09T22:17:12.606256Z
2,1,2024-06-09T22:17:18.084764Z,Negative,شيباني افجل إيشير,2024-06-09T22:17:18.084764Z
3,1,2024-06-09T22:17:21.820275Z,Positive,السلام عليكم ورحمة الله وبركاته,2024-06-09T22:17:21.820275Z
4,1,2024-06-09T22:17:26.600887Z,Negative,انت مانك محترم يواجعة ,2024-06-09T22:17:26.600887Z
5,1,2024-06-09T22:17:30.816264Z,Positive, زين,2024-06-09T22:17:30.816264Z
6,1,2024-06-09T22:17:42.000460Z,Neutral, كلمة,2024-06-09T22:17:42.000460Z
7,1,2024-06-09T22:17:46.506438Z,Neutral,ياااخوتي  ,2024-06-09T22:17:46.506438Z
8,1,2024-06-09T22:17:49.625749Z,Negative,مكل احترامك ,2024-06-09T22:17:49.625749Z
9,1,2024-06-09T22:18:00.751253Z,Neutral,يواجعة,2024-06-09T22:18:00.751253Z
10,1,2024-06-09T22:18:03.949614Z,Neutral,ماش أينت؟,2024-06-09T22:18:03.949614Z
11,1,2024-06-09T22:18:14.845583Z,Positive,ختطاف الهاتف  كول سرقة الهاتف  ذا المحرر زين فيه يعدلول دورات تكوينية,2024-06-09T22:18:14.845583Z
12,1,2024-06-09T22:18:34.533376Z,Negative,مرخاكم ذمن تلفون گط أصرگن ولانطحت فيه عنزعنز,2024-06-09T22:18:34.533376Z
13,1,2024-06-09T22:18:39.901670Z,Positive,تگدْ بعد ماتشفرْها ماشاء الله,2024-06-09T22:18:39.901670Z
14,1,2024-06-09T22:18:49.526927Z,Negative,الذين كانوا وراء اختطاف الهاتف لله اريحنا من هذا النوع من الصحافة,2024-06-09T22:18:49.526927Z
15,1,2024-06-09T22:18:56.135627Z,Neutral,ذاك شفناه,2024-06-09T22:18:56.135627Z
16,1,2024-06-09T22:19:02.984565Z,Neutral,صور خاصة  هو شي ماهو مناسب دايرو حد  افتلفون لاش كاع,2024-06-09T22:19:02.984565Z
17,1,2024-06-09T22:19:08.566168Z,Negative,ذ أثر مهم,2024-06-09T22:19:08.566168Z
18,1,2024-06-09T22:19:14.469852Z,Positive,كرمى بعد ذى فنانة اكبيرة,2024-06-09T22:19:14.469852Z
19,1,2024-06-09T22:19:21.885112Z,Negative,هههه نعوذ بالله,2024-06-09T22:19:21.885112Z
20,1,2024-06-09T22:19:30.353499Z,Negative,ياااخوتي تلفون ماه أملم الحد وحد حااافظ اعل راص من ذو تلفونات وغيرهم نسأل الله السلامة والعافية,2024-06-09T22:19:30.353499Z
21,1,2024-06-09T22:21:09.089906Z,Neutral,كرمي منهي؟ وزيرة، رئيسة مصلحة ولل سفيرة؟,2024-06-09T22:21:09.089906Z
22,1,2024-06-09T22:21:17.203995Z,Negative,هوم شرط عاد عندهم من العمل لاخراصت كرمي,2024-06-09T22:21:17.203995Z
23,1,2024-06-09T22:21:28.854569Z,Neutral,نتومَ تگدُ تشادو ذ شفيه لنحن,2024-06-09T22:21:28.854569Z
