instruction,input,output,source,task
"Translate the following English text to Hassania Arabic dialect:
Do you have a son named Mohamed?",,عندك اولد اسمه محمد؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عندك اولد اسمه محمد؟",,Do you have a son named Mohamed?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I'll take him.",,لاه نمشي بيه امعاي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لاه نمشي بيه امعاي",,I'll take him.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Anything new?",,شطرى؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
شطرى؟",,Anything new?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Aziz hid under the table.",,عزيز تروغ تحت الطابلة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عزيز تروغ تحت الطابلة",,Aziz hid under the table.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,عزيز تروغ ,عزيز تروغ تحت الطابلة,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
You should try to form the habit of using your dictionaries.",,يالتك اطب اعل تشقال المُعجَمات,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
يالتك اطب اعل تشقال المُعجَمات",,You should try to form the habit of using your dictionaries.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,يالتك اطب اعل ت,يالتك اطب اعل تشقال المُعجَمات,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
I hate chemistry.",,مانگد اعل الكيمياء,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
مانگد اعل الكيمياء",,I hate chemistry.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
If I were to tell you the truth, you would be surprised.",,لكنت قلت لك الحگ كنت لهي تتفاجأ,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لكنت قلت لك الحگ كنت لهي تتفاجأ",,"If I were to tell you the truth, you would be surprised.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,لكنت قلت لك الح,لكنت قلت لك الحگ كنت لهي تتفاجأ,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
I am eating an apple.",,نوكل ابمايه,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
نوكل ابمايه",,I am eating an apple.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Everybody loves music.",,كل حد يبغي الهول,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
كل حد يبغي الهول",,Everybody loves music.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Go and speak to my colleague.",,امشي و اتكلم امع زميلي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
امشي و اتكلم امع زميلي",,Go and speak to my colleague.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,امشي و اتكل,امشي و اتكلم امع زميلي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
It's not the time but the will that you lack.",,علتك ماه الوقت علتك الرزاح,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
علتك ماه الوقت علتك الرزاح",,It's not the time but the will that you lack.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,علتك ماه الوق,علتك ماه الوقت علتك الرزاح,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Kemal went to school with Bilal.",,كمال اتافگ مع بلال شور المدرسة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
كمال اتافگ مع بلال شور المدرسة",,Kemal went to school with Bilal.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,كمال اتافگ مع ب,كمال اتافگ مع بلال شور المدرسة,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
How long is the bridge?",,الجسر كم طولو؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الجسر كم طولو؟",,How long is the bridge?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
At least let me help set the table.",,على الاقل خليني انعاونك اف ترتيب الطابلة,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
على الاقل خليني انعاونك اف ترتيب الطابلة",,At least let me help set the table.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,على الاقل خليني انعا,على الاقل خليني انعاونك اف ترتيب الطابلة,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
I'm a little tired.",,أنا تعبان شوي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
أنا تعبان شوي",,I'm a little tired.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Is this book yours?",,ذا الكتاب لك؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذا الكتاب لك؟",,Is this book yours?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Fadil headed into the house.",,فاضل ادخل في الدار,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
فاضل ادخل في الدار",,Fadil headed into the house.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
That is a new story to me.",,هاذي مردة جديدة علي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هاذي مردة جديدة علي",,That is a new story to me.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Do you think fish can hear?",,انت شاك ان الحوت يسمع؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
انت شاك ان الحوت يسمع؟",,Do you think fish can hear?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,انت شاك ان ,انت شاك ان الحوت يسمع؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
What do you intend to do?",,اش هامك اتعدل؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اش هامك اتعدل؟",,What do you intend to do?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
French is spoken in France.",,الفرنسية يكلم بيها شور فرنسا,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الفرنسية يكلم بيها شور فرنسا",,French is spoken in France.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,الفرنسية يكلم ,الفرنسية يكلم بيها شور فرنسا,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
You can take whichever way you like.",,تگد تختر الطريگ اللي باغي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
تگد تختر الطريگ اللي باغي",,You can take whichever way you like.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,تگد تختر الط,تگد تختر الطريگ اللي باغي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
How will we pay our debts now?",,بسمحالة لاهي نخلصو دينا ظرك,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
بسمحالة لاهي نخلصو دينا ظرك",,How will we pay our debts now?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,بسمحالة لاهي ,بسمحالة لاهي نخلصو دينا ظرك,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
That is intriguing.",,هذا رافد اينيمش,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هذا رافد اينيمش",,That is intriguing.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
What are you thinking about?",,شتفكر فيه,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
شتفكر فيه",,What are you thinking about?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I know your name.",,نعرف اسمك,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
نعرف اسمك",,I know your name.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Is everything all right?",,اياك كل شيء زين,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اياك كل شيء زين",,Is everything all right?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Do you love music?",,تبق لغن؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
تبق لغن؟",,Do you love music?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Where do you work?",,تشتغل منين؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
تشتغل منين؟",,Where do you work?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Where will we meet?",,امنين لهي نجابرو؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
امنين لهي نجابرو؟",,Where will we meet?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Who is your teacher?",,گرايك منه؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
گرايك منه؟",,Who is your teacher?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I didn't like it.",,ذاك ماه عاجبني,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذاك ماه عاجبني",,I didn't like it.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Mustafa is not my brother, but my cousin.",,مصطفى ماه خويا هو ول عمي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
مصطفى ماه خويا هو ول عمي",,"Mustafa is not my brother, but my cousin.",dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,مصطفى ماه خو,مصطفى ماه خويا هو ول عمي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
The car crashed into the wall.",,الوت كرت الحيط,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الوت كرت الحيط",,The car crashed into the wall.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I would rather not go.",,أغلى علي ما نمشي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
أغلى علي ما نمشي",,I would rather not go.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
She asked me where I was going.",,سولتني عني منين واعد,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
سولتني عني منين واعد",,She asked me where I was going.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Why do you want to leave today?",,اعلاش تبقي تمشي اليوم؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اعلاش تبقي تمشي اليوم؟",,Why do you want to leave today?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,اعلاش تبقي ,اعلاش تبقي تمشي اليوم؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Why is it so hot?",,هون حامي لاش,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هون حامي لاش",,Why is it so hot?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Are you going anywhere?",,أنت واعد ابلد؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
أنت واعد ابلد؟",,Are you going anywhere?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
My uncle's brother's son got involved in a shady business and disgraced the family.",,ول عمي تورط ف فلاعمال المهي كارده الطريق و افظح لاسره,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ول عمي تورط ف فلاعمال المهي كارده الطريق و افظح لاسره",,My uncle's brother's son got involved in a shady business and disgraced the family.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,ول عمي تورط ف فلاعمال المه,ول عمي تورط ف فلاعمال المهي كارده الطريق و افظح لاسره,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Why didn't you believe me?",,لاش ما جاد عليك كلامي؟,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لاش ما جاد عليك كلامي؟",,Why didn't you believe me?,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,لاش ما جاد ,لاش ما جاد عليك كلامي؟,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Omar was in Japan.",,عمر كان شور اليابان,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
عمر كان شور اليابان",,Omar was in Japan.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Let me see it.",,خليني نشوفو,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
خليني نشوفو",,Let me see it.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
I am terribly hungry.",,أنا ظمران,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
أنا ظمران",,I am terribly hungry.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Is that all?",,الا ذا گدو,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
الا ذا گدو",,Is that all?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
You should give up drinking tea.",,يالتك توف من شراب اتاي,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
يالتك توف من شراب اتاي",,You should give up drinking tea.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,يالتك توف م,يالتك توف من شراب اتاي,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Just a minute.",,دقيقة حگل,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
دقيقة حگل",,Just a minute.,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Henry was dismissed by reason of his old age.",,هنري انصاع بيه اتشيبين,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
هنري انصاع بيه اتشيبين",,Henry was dismissed by reason of his old age.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,هنري انصاع ,هنري انصاع بيه اتشيبين,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
That is the fastest train in the world.",,ذ هو اسبگ قطار ف العالم,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ذ هو اسبگ قطار ف العالم",,That is the fastest train in the world.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,ذ هو اسبگ ق,ذ هو اسبگ قطار ف العالم,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
What time will the game start?",,اينت يبدأ ماتش,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
اينت يبدأ ماتش",,What time will the game start?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
Do you need an ambulance?",,ابغايتك افامبيلانص,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ابغايتك افامبيلانص",,Do you need an ambulance?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
People should understand that the world is changing.",,يالت الناس يفهم ان العالم تتبدل,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
يالت الناس يفهم ان العالم تتبدل",,People should understand that the world is changing.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,يالت الناس يفهم,يالت الناس يفهم ان العالم تتبدل,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Any student can answer that question.",,ما خالگ تلميدي ما يعرف جواب ذ السؤال,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
ما خالگ تلميدي ما يعرف جواب ذ السؤال",,Any student can answer that question.,dah,translation_hassania_to_en
Continue writing in Hassania Arabic dialect:,ما خالگ تلميدي ما ,ما خالگ تلميدي ما يعرف جواب ذ السؤال,dah,text_generation
"Translate the following English text to Hassania Arabic dialect:
Are you going to attend the meeting?",,لهي تحظر لاجتماع?,dah,translation_en_to_hassania
"Translate the following Hassania Arabic dialect text to English:
لهي تحظر لاجتماع?",,Are you going to attend the meeting?,dah,translation_hassania_to_en
"Translate the following English text to Hassania Arabic dialect:
What made him change his mind?",,شتمى ايلين بدل ارايو؟,dah,translation_en_to_hassania
